policy_domain,policy_domain_en,domain_order,recurring,capital,amount,high_confidence,medium_confidence,low_confidence,item_count,percentage,confidence
治理與行政,Governance & Administration,1,1946330,317054,2263384,2,1,0,3,10.7,medium
公共安全,Public Safety,2,1542666,56767,1599433,1,0,0,1,7.6,high
財政管理,Fiscal Management,3,247150,17057,264207,2,0,0,2,1.3,high
教育與文化,Education & Culture,4,6262917,1211065,7473982,2,0,0,2,35.4,high
經濟與產業,Economy & Industry,5,672136,273056,945192,2,0,1,3,4.5,low
交通與基礎建設,Transport & Infrastructure,6,147399,1796407,1943806,1,0,0,1,9.2,high
社會福利,Social Welfare,7,2077610,32758,2110368,2,0,0,2,10.0,high
社會安全,Social Security,8,71762,0,71762,1,0,0,1,0.3,high
勞動與就業,Labor & Employment,9,127095,0,127095,1,0,0,1,0.6,high
衛生與健康,Health & Wellness,10,1270093,12257,1282350,1,0,0,1,6.1,high
環境與永續,Environment & Sustainability,11,1028593,181236,1209829,1,0,0,1,5.7,high
社區發展,Community Development,12,10425,0,10425,0,1,0,1,0.0,medium
退休撫卹,Retirement & Pensions,13,1396167,0,1396167,1,0,0,1,6.6,high
其他,Other,14,307000,120000,427000,0,0,2,2,2.0,low
