fiscal_year,level,parent_code,code,function_category,recurring,capital,amount,policy_domain,policy_domain_en,domain_order
115,1,1.0,,一般政務支出,3729046,390878,4119924,治理與行政,Governance & Administration,1
115,2,1.0,1.0,行政支出,383636,114550,498186,治理與行政,Governance & Administration,1
115,2,1.0,2.0,立法支出,237341,2300,239641,治理與行政,Governance & Administration,1
115,2,1.0,3.0,民政支出,1325353,200204,1525557,治理與行政,Governance & Administration,1
115,2,1.0,4.0,警政支出,1542666,56767,1599433,公共安全,Public Safety,2
115,2,1.0,5.0,財務支出,240050,17057,257107,財政管理,Fiscal Management,3
115,1,2.0,,教育科學文化支出,6262917,1211065,7473982,教育與文化,Education & Culture,4
115,2,2.0,1.0,教育支出,5758008,938089,6696097,教育與文化,Education & Culture,4
115,2,2.0,2.0,文化支出,504909,272976,777885,教育與文化,Education & Culture,4
115,1,3.0,,經濟發展支出,819535,2069463,2888998,經濟與產業,Economy & Industry,5
115,2,3.0,1.0,農業支出,92186,505,92691,經濟與產業,Economy & Industry,5
115,2,3.0,2.0,工業支出,128321,10213,138534,經濟與產業,Economy & Industry,5
115,2,3.0,3.0,交通支出,147399,1796407,1943806,交通與基礎建設,Transport & Infrastructure,6
115,2,3.0,4.0,其他經濟服務支出,451629,262338,713967,經濟與產業,Economy & Industry,5
115,1,4.0,,社會福利支出,3546560,45015,3591575,社會福利,Social Welfare,7
115,2,4.0,1.0,社會保險支出,71762,0,71762,社會安全,Social Security,8
115,2,4.0,2.0,社會救助支出,110545,0,110545,社會福利,Social Welfare,7
115,2,4.0,3.0,福利服務支出,1967065,32758,1999823,社會福利,Social Welfare,7
115,2,4.0,4.0,國民就業支出,127095,0,127095,勞動與就業,Labor & Employment,9
115,2,4.0,5.0,醫療保健支出,1270093,12257,1282350,衛生與健康,Health & Wellness,10
115,1,5.0,,社區發展及環境保護支出,1039018,181236,1220254,環境與永續,Environment & Sustainability,11
115,2,5.0,1.0,環境保護支出,1028593,181236,1209829,環境與永續,Environment & Sustainability,11
115,2,5.0,2.0,社區發展支出,10425,0,10425,社區發展,Community Development,12
115,1,6.0,,退休撫卹支出,1396167,0,1396167,退休撫卹,Retirement & Pensions,13
115,2,6.0,1.0,退休撫卹給付支出,1396167,0,1396167,退休撫卹,Retirement & Pensions,13
115,1,7.0,,債務支出,7100,0,7100,財政管理,Fiscal Management,3
115,2,7.0,1.0,債務付息支出,7100,0,7100,財政管理,Fiscal Management,3
115,1,8.0,,補助及其他支出,307000,120000,427000,其他,Other,14
115,2,8.0,1.0,其他支出,267000,120000,387000,其他,Other,14
115,2,8.0,2.0,第二預備金,40000,0,40000,其他,Other,14
