fund_type,item,fund_name,amount
營業基金,營業收入,合計,102124
營業基金,營業收入,嘉義魚市場股份有限公司,64605
營業基金,營業收入,嘉義市果菜市場股份有限公司,37519
營業基金,勞務收入,合計,68802
營業基金,勞務收入,嘉義魚市場股份有限公司,35478
營業基金,勞務收入,嘉義市果菜市場股份有限公司,33324
營業基金,管理費收入,合計,68802
營業基金,管理費收入,嘉義魚市場股份有限公司,35478
營業基金,管理費收入,嘉義市果菜市場股份有限公司,33324
營業基金,其他營業收入,合計,33322
營業基金,其他營業收入,嘉義魚市場股份有限公司,29127
營業基金,其他營業收入,嘉義市果菜市場股份有限公司,4195
營業基金,營業資產租金收入,合計,500
營業基金,營業資產租金收入,嘉義魚市場股份有限公司,500
營業基金,政府補助收入,合計,1847
營業基金,政府補助收入,嘉義魚市場股份有限公司,1837
營業基金,政府補助收入,嘉義市果菜市場股份有限公司,10
營業基金,其他營業收入,合計,30975
營業基金,其他營業收入,嘉義魚市場股份有限公司,26790
營業基金,其他營業收入,嘉義市果菜市場股份有限公司,4185
營業基金,營業費用,合計,93627
營業基金,營業費用,嘉義魚市場股份有限公司,61301
營業基金,營業費用,嘉義市果菜市場股份有限公司,32326
營業基金,業務費用,合計,30154
營業基金,業務費用,嘉義魚市場股份有限公司,20315
營業基金,業務費用,嘉義市果菜市場股份有限公司,9839
營業基金,業務費用,合計,30154
營業基金,業務費用,嘉義魚市場股份有限公司,20315
營業基金,業務費用,嘉義市果菜市場股份有限公司,9839
營業基金,管理費用,合計,63473
營業基金,管理費用,嘉義魚市場股份有限公司,40986
營業基金,管理費用,嘉義市果菜市場股份有限公司,22487
營業基金,管理費用,合計,63473
營業基金,管理費用,嘉義魚市場股份有限公司,40986
營業基金,管理費用,嘉義市果菜市場股份有限公司,22487
營業基金,營業利益(損失-),合計,8497
營業基金,營業利益(損失-),嘉義魚市場股份有限公司,3304
營業基金,營業利益(損失-),嘉義市果菜市場股份有限公司,5193
營業基金,營業外收入,合計,995
營業基金,營業外收入,嘉義魚市場股份有限公司,836
營業基金,營業外收入,嘉義市果菜市場股份有限公司,159
營業基金,財務收入,合計,399
營業基金,財務收入,嘉義魚市場股份有限公司,250
營業基金,財務收入,嘉義市果菜市場股份有限公司,149
營業基金,利息收入,合計,330
營業基金,利息收入,嘉義魚市場股份有限公司,250
營業基金,利息收入,嘉義市果菜市場股份有限公司,80
營業基金,投資收益,合計,69
營業基金,投資收益,嘉義市果菜市場股份有限公司,69
營業基金,其他營業外收入,合計,596
營業基金,其他營業外收入,嘉義魚市場股份有限公司,586
營業基金,其他營業外收入,嘉義市果菜市場股份有限公司,10
營業基金,什項收入,合計,596
營業基金,什項收入,嘉義魚市場股份有限公司,586
營業基金,什項收入,嘉義市果菜市場股份有限公司,10
營業基金,營業外費用,合計,5
營業基金,營業外費用,嘉義魚市場股份有限公司,5
營業基金,其他營業外費用,合計,5
營業基金,其他營業外費用,嘉義魚市場股份有限公司,5
營業基金,什項費用,合計,5
營業基金,什項費用,嘉義魚市場股份有限公司,5
營業基金,營業外利益(損失-),合計,990
營業基金,營業外利益(損失-),嘉義魚市場股份有限公司,831
營業基金,營業外利益(損失-),嘉義市果菜市場股份有限公司,159
營業基金,稅前純益(純損-),合計,9487
營業基金,稅前純益(純損-),嘉義魚市場股份有限公司,4135
營業基金,稅前純益(純損-),嘉義市果菜市場股份有限公司,5352
營業基金,所得稅費用(利益-),合計,1601
營業基金,所得稅費用(利益-),嘉義魚市場股份有限公司,703
營業基金,所得稅費用(利益-),嘉義市果菜市場股份有限公司,898
營業基金,本期純益(純損-),合計,7886
營業基金,本期純益(純損-),嘉義魚市場股份有限公司,3432
營業基金,本期純益(純損-),嘉義市果菜市場股份有限公司,4454
