fund_type,item,fund_name,amount
作業基金,業務收入,合計,498222
作業基金,投融資業務收入,合計,460000
作業基金,不動產投資收入,合計,460000
作業基金,醫療收入,合計,5002
作業基金,門診醫療收入,合計,4798
作業基金,其他醫療收入,合計,204
作業基金,徵收收入,合計,1200
作業基金,都市計畫變更回饋代金收入,合計,1200
作業基金,其他業務收入,合計,32020
作業基金,其他補助收入,合計,32020
作業基金,業務成本與費用,合計,510958
作業基金,投融資業務成本,合計,460000
作業基金,不動產投資成本,合計,460000
作業基金,醫療成本,合計,5299
作業基金,門診醫療成本,合計,5299
作業基金,管理及總務費用,合計,45659
作業基金,管理費用及總務費用,合計,45659
作業基金,業務賸餘(短絀－ ),合計,-12736
作業基金,業務外收入,合計,3189
作業基金,財務收入,合計,2216
作業基金,利息收入,合計,2216
作業基金,其他業務外收入,合計,973
作業基金,雜項收入,合計,973
作業基金,業務外費用,合計,428
作業基金,其他業務外費用,合計,428
作業基金,雜項費用,合計,428
作業基金,業務外賸餘(短絀－),合計,2761
作業基金,本期賸餘(短絀－),合計,-9975
