year,total_population,male,female,households,growth_pct
80,258468,131558,126910,63975,0.000%
81,258698,131786,126912,65277,0.089%
82,258599,131390,127209,67036,-0.038%
83,260368,132024,128344,69559,0.684%
84,261391,132279,129112,72297,0.393%
85,262860,132540,130320,74154,0.562%
86,262822,132520,130302,76143,-0.014%
87,263050,132538,130512,77373,0.087%
88,265109,133442,131667,78423,0.783%
89,266183,133793,132390,79716,0.405%
90,267993,134621,133372,81262,0.680%
91,267907,134289,133618,82444,-0.032%
92,269594,134909,134685,84429,0.630%
93,270341,135027,135314,86261,0.277%
94,271701,135252,136449,88011,0.503%
95,272364,135083,137281,89385,0.244%
96,273075,135112,137963,91065,0.261%
97,273793,135283,138510,93138,0.263%
98,273861,134980,138881,94513,0.025%
99,272390,134036,138354,95152,-0.537%
100,271526,133453,138073,96043,-0.317%
101,271220,133090,138130,97018,-0.113%
102,270872,132646,138226,97643,-0.128%
103,270883,132413,138470,98276,0.004%
104,270366,131907,138459,98702,-0.191%
105,269874,131410,138464,98947,-0.182%
106,269398,130974,138424,99476,-0.176%
107,268622,130416,138206,99925,-0.288%
108,267690,129794,137896,100625,-0.347%
109,266005,128670,137335,101155,-0.629%
110,264727,127842,136885,101804,-0.480%
111,262924,126594,136330,102340,-0.681%
112,263584,126610,136974,103384,0.251%
113,262177,125664,136513,105407,-0.534%
114,261592,125065,136527,108946,-0.223%
